danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.427,0.396,11,-7.556,1,0.0366,0.736,0.0,0.11,0.306,70.368
0.664,0.553,9,-7.555,1,0.0376,0.616,0.0,0.157,0.604,99.93
0.728,0.494,6,-9.628,0,0.0256,0.516,0.00384,0.0759,0.558,105.007
0.586,0.562,9,-7.399,1,0.0267,0.803,5.52e-06,0.063,0.436,93.982
0.271,0.726,7,-6.504,1,0.0527,0.586,0.0,0.353,0.532,87.424
0.468,0.658,2,-7.6,1,0.0667,0.81,0.0333,0.12,0.533,87.607
0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088
0.548,0.878,10,-5.154,1,0.0598,0.0253,0.000934,0.0909,0.826,174.043
0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03
0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051
0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027
0.711,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.807,140.981
0.841,0.898,8,-7.135,1,0.104,0.271,0.0151,0.304,0.931,98.401
0.727,0.832,1,-5.153,0,0.0495,0.0125,9.96e-06,0.116,0.813,111.988
0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025
0.799,0.574,9,-7.853,0,0.261,0.6,0.0,0.245,0.812,111.988
0.434,0.422,7,-13.964,0,0.0375,0.134,2.05e-05,0.0861,0.377,123.201
0.407,0.558,0,-13.609,1,0.0552,0.0537,1.42e-06,0.34,0.777,71.815
0.772,0.371,5,-5.743,0,0.0348,0.745,0.0,0.167,0.684,96.574
0.634,0.543,1,-13.391,0,0.182,0.525,0.0,0.232,0.468,121.56
0.694,0.495,9,-14.222,1,0.0329,0.0137,0.00351,0.0644,0.799,103.375
0.484,0.294,0,-16.544,1,0.031,0.34,0.00609,0.146,0.562,165.007
0.582,0.486,4,-13.165,1,0.0764,0.518,0.0,0.0665,0.512,87.833
0.883,0.458,9,-6.801,0,0.0411,0.0401,0.000419,0.0603,0.816,91.425
0.628,0.504,11,-14.978,1,0.0729,0.0215,0.00865,0.0684,0.711,98.308
0.705,0.634,5,-6.083,0,0.0282,0.0405,3.53e-05,0.349,0.639,98.008
0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647
0.535,0.622,8,-5.771,1,0.0593,0.541,0.0209,0.402,0.457,143.533
0.807,0.462,8,-10.756,1,0.201,0.0762,0.000718,0.205,0.229,132.408
0.61,0.866,11,-3.74,0,0.115,0.00348,0.0766,0.946,0.434,126.632
0.41,0.718,7,-5.8,1,0.0448,0.283,0.00573,0.208,0.0375,126.297
0.656,0.876,11,-5.973,1,0.0449,0.00352,0.462,0.235,0.2,154.989
0.67,0.94,1,-3.379,1,0.0576,0.025,0.284,0.345,0.661,133.188
0.412,0.67,4,-3.959,1,0.0289,0.772,0.00108,0.242,0.395,134.024
0.568,0.915,1,-3.276,0,0.0663,0.000915,4.17e-05,0.602,0.586,97.417
0.431,0.806,3,-4.646,0,0.0612,0.0319,7.32e-05,0.476,0.4,142.873
0.388,0.291,3,-12.952,1,0.0421,0.774,1.93e-05,0.0874,0.51,83.943
0.354,0.269,1,-13.242,1,0.0297,0.885,0.00035,0.0872,0.304,91.608
0.435,0.382,3,-11.75,1,0.0298,0.821,0.0327,0.117,0.668,143.866
0.535,0.243,2,-17.583,1,0.0344,0.914,1.82e-05,0.0745,0.631,122.737
0.65,0.284,10,-15.665,0,0.0286,0.958,0.00221,0.213,0.512,112.767
0.573,0.276,11,-14.235,1,0.0405,0.862,0.00215,0.12,0.466,136.704
0.444,0.173,1,-13.476,1,0.0505,0.937,9.03e-06,0.117,0.488,154.857
0.53,0.277,9,-11.037,1,0.031,0.862,0.0,0.112,0.358,115.34
0.538,0.103,8,-19.38,1,0.0462,0.914,5.3e-05,0.137,0.383,128.424
0.495,0.196,1,-9.992,1,0.0333,0.915,0.0,0.152,0.375,76.47
0.906,0.752,11,-5.296,0,0.085,0.0136,0.0,0.0733,0.635,100.003
0.532,0.896,8,-4.356,1,0.184,0.00869,0.0,0.106,0.479,150.06
0.83,0.791,5,-5.185,0,0.049,0.027,0.0,0.343,0.466,119.024
0.797,0.831,11,-5.533,0,0.0643,0.0338,0.0,0.368,0.39,107.007
0.482,0.884,6,-4.538,0,0.0668,0.000677,0.000575,0.0883,0.377,171.915
0.826,0.651,10,-6.864,0,0.055,0.00179,6.45e-06,0.0697,0.559,125.036
0.555,0.89,9,-5.349,1,0.132,0.00399,0.0,0.0506,0.581,181.963
0.692,0.835,6,-4.978,0,0.0628,0.0517,0.0,0.134,0.566,80.017
0.571,0.964,4,-1.949,0,0.124,0.0503,0.0,0.356,0.519,129.997
0.68,0.709,2,-6.427,1,0.08,0.0306,3.43e-06,0.32,0.355,144.01
0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04
0.369,0.845,0,-3.449,0,0.0611,0.0493,0.0,0.416,0.782,78.532
0.497,0.923,2,-4.512,1,0.138,0.00282,0.0,0.158,0.663,181.074
0.51,0.787,0,-3.712,0,0.0529,0.0137,0.0,0.368,0.793,162.092
0.491,0.837,2,-3.528,1,0.0533,4.13e-05,0.0,0.194,0.384,90.529
0.456,0.911,1,-2.904,0,0.0476,0.000771,0.0,0.323,0.624,164.032
0.45,0.602,6,-4.801,0,0.0264,0.15,0.0,0.141,0.316,170.043
0.514,0.671,11,-3.206,0,0.0309,0.022,0.0,0.0909,0.524,88.017
0.475,0.987,5,-3.515,0,0.121,0.00028,2.4e-06,0.335,0.632,162.005
0.417,0.951,1,-3.006,1,0.0499,0.00295,0.0,0.335,0.643,147.944
0.813,0.552,6,-6.328,1,0.0769,0.0702,0.000195,0.0542,0.773,146.953
0.713,0.703,8,-5.769,1,0.194,0.298,0.0,0.321,0.576,123.06
0.815,0.514,6,-9.446,0,0.361,0.54,0.0,0.611,0.623,120.054
0.687,0.782,8,-5.571,0,0.072,0.629,3.15e-05,0.106,0.72,89.978
0.897,0.755,9,-5.684,0,0.144,0.00758,0.000451,0.264,0.567,110.008
0.6,0.831,5,-3.858,1,0.0476,0.299,0.0,0.234,0.652,178.245
0.817,0.672,11,-5.612,0,0.299,0.441,0.0,0.13,0.774,93.999
0.726,0.604,7,-8.127,1,0.0846,0.546,2.71e-05,0.913,0.788,80.994
0.735,0.603,6,-9.474,0,0.203,0.226,3.56e-05,0.0844,0.429,135.993
0.783,0.701,1,-5.455,1,0.132,0.283,0.000781,0.643,0.52,140.04
0.588,0.881,0,-4.62,1,0.0666,0.000252,0.0,0.326,0.709,129.947
0.584,0.536,10,-8.158,1,0.0279,0.112,0.0,0.456,0.441,127.001
0.349,0.981,2,-3.228,0,0.141,2.58e-05,0.0,0.343,0.207,160.042
0.241,0.97,10,-4.246,0,0.104,7.35e-05,0.0,0.904,0.621,159.93
0.425,0.983,10,-3.437,1,0.114,0.000263,0.0,0.114,0.513,149.95
0.507,0.933,0,-4.7,1,0.0869,7e-05,0.0,0.105,0.715,149.996
0.301,0.916,10,-6.218,0,0.0919,0.000132,1.84e-05,0.293,0.451,150.091
0.625,0.951,3,-5.209,1,0.0494,0.00497,0.0,0.107,0.721,128.01
0.463,0.917,7,-3.776,1,0.13,0.000266,1.8e-05,0.0872,0.369,160.028
0.496,0.955,9,-3.607,0,0.196,8.3e-05,9.64e-05,0.0549,0.143,122.956
0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402
0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412
0.641,0.552,1,-5.423,0,0.0283,0.027,4.63e-06,0.148,0.152,90.098
0.652,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.986
0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513
0.531,0.603,7,-6.242,1,0.0944,0.728,0.0,0.11,0.228,86.162
0.484,0.368,6,-7.784,1,0.0341,0.74,3.82e-05,0.118,0.142,92.923
0.264,0.663,9,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078
0.596,0.505,7,-7.892,1,0.0619,0.732,1.97e-05,0.106,0.335,86.097
0.449,0.444,4,-7.248,1,0.0416,0.755,6.88e-05,0.267,0.138,81.222
0.699,0.698,11,-11.665,0,0.167,0.00534,0.0,0.267,0.601,133.972
0.776,0.659,10,-12.282,0,0.351,0.0127,0.00035,0.0424,0.656,91.067
0.705,0.729,8,-5.028,1,0.143,0.000271,0.0682,0.229,0.632,159.012
0.844,0.892,1,-0.892,1,0.312,0.0104,0.0,0.75,0.755,119.967
0.586,0.578,5,-10.113,0,0.0431,0.00133,0.871,0.136,0.3,82.004
0.632,0.81,7,-4.289,1,0.246,0.0141,7.42e-05,0.0863,0.832,137.031
0.787,0.47,1,-10.623,1,0.243,0.000717,0.0,0.12,0.965,137.954
0.836,0.734,8,-12.171,1,0.0762,0.00403,0.0,0.0586,0.813,131.068
0.628,0.605,11,-11.536,0,0.198,0.103,0.0,0.0599,0.667,130.014
0.514,0.735,1,-13.277,1,0.357,0.0232,0.0,0.0422,0.522,66.147
0.765,0.552,1,-7.524,0,0.309,0.175,0.0,0.193,0.492,119.476
0.782,0.719,1,-4.863,1,0.115,0.0311,0.0,0.157,0.304,139.941
0.709,0.415,1,-10.811,1,0.0876,0.203,0.0,0.146,0.292,131.929
0.706,0.716,7,-4.263,0,0.0768,0.115,0.0,0.316,0.459,136.904
0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148
0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983
0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008
0.472,0.551,5,-7.219,0,0.25,0.103,0.0,0.345,0.347,83.25
0.784,0.517,4,-8.981,0,0.209,0.0249,1.44e-06,0.155,0.206,97.991
0.769,0.632,10,-4.228,0,0.0537,0.0325,0.0,0.116,0.294,131.932
