artist_name,genres,followers,artist_popularity,artist_url
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,71,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
Alfredo Olivas,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,70,https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8
alex_g_offline,,690529,75,https://open.spotify.com/artist/0bC6e2YtIRLbKx2txHFmEo
alex_g_offline,,690529,74,https://open.spotify.com/artist/0bC6e2YtIRLbKx2txHFmEo
alex_g_offline,,690529,73,https://open.spotify.com/artist/0bC6e2YtIRLbKx2txHFmEo
alex_g_offline,,690529,69,https://open.spotify.com/artist/0bC6e2YtIRLbKx2txHFmEo
Christina Aguilera,"dance pop, pop",8411343,49,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,79,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,78,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,69,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,67,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,70,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,67,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,66,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,65,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Christina Aguilera,"dance pop, pop",8411343,65,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS
Alec Benjamin,"alt z, pop, pov: indie",5186665,82,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,74,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,73,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,70,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,70,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,67,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,64,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,62,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,62,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Alec Benjamin,"alt z, pop, pov: indie",5186665,62,https://open.spotify.com/artist/5IH6FPUwQTxPSXurCrcIov
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,82,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,76,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,75,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,73,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,73,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,70,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,68,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,65,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,62,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aerosmith,"album rock, classic rock, hard rock, rock",14505641,62,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
Aly & AJ,"dance pop, girl group, post-teen pop",680583,63,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,55,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,50,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,50,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,46,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,46,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,43,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,42,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,40,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
Aly & AJ,"dance pop, girl group, post-teen pop",680583,39,https://open.spotify.com/artist/5wugb0kaq0J6nyQ5Xgd17i
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,85,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,83,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
